valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-04-08 07:00:00+00:00,34.2,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,31
2025-04-08 08:00:00+00:00,34.9,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,32
2025-04-08 09:00:00+00:00,35.3,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,33
2025-04-08 10:00:00+00:00,34.7,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,34
2025-04-08 11:00:00+00:00,33.9,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,35
2025-04-08 12:00:00+00:00,32.1,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,36
2025-04-08 13:00:00+00:00,29.9,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,37
2025-04-08 14:00:00+00:00,28.7,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,38
2025-04-08 15:00:00+00:00,27.2,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,39
2025-04-08 16:00:00+00:00,25.9,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,40
2025-04-08 17:00:00+00:00,25.2,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,41
2025-04-08 18:00:00+00:00,24.5,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,42
2025-04-08 19:00:00+00:00,24.0,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,43
2025-04-08 20:00:00+00:00,23.7,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,44
2025-04-08 21:00:00+00:00,23.3,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,45
2025-04-08 22:00:00+00:00,22.5,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,46
2025-04-08 23:00:00+00:00,22.0,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,47
2025-04-09 00:00:00+00:00,21.6,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,48
2025-04-09 01:00:00+00:00,21.6,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,49
2025-04-09 02:00:00+00:00,23.7,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,50
2025-04-09 03:00:00+00:00,26.5,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,51
2025-04-09 04:00:00+00:00,28.9,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,52
2025-04-09 05:00:00+00:00,31.0,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,53
2025-04-09 06:00:00+00:00,32.4,2025-04-07 06:00:00+00:00,2025-04-07 00:00:00+00:00,54
2025-04-09 07:00:00+00:00,34.0,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,7
2025-04-09 08:00:00+00:00,34.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,8
2025-04-09 09:00:00+00:00,35.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,9
2025-04-09 10:00:00+00:00,35.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,10
2025-04-09 11:00:00+00:00,34.7,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,11
2025-04-09 12:00:00+00:00,32.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,12
2025-04-09 13:00:00+00:00,30.1,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,13
2025-04-09 14:00:00+00:00,29.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,14
2025-04-09 15:00:00+00:00,27.5,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,15
2025-04-09 16:00:00+00:00,26.8,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,16
2025-04-09 17:00:00+00:00,26.5,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,17
2025-04-09 18:00:00+00:00,26.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,18
2025-04-09 19:00:00+00:00,25.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,19
2025-04-09 20:00:00+00:00,25.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,20
2025-04-09 21:00:00+00:00,24.4,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,21
2025-04-09 22:00:00+00:00,23.9,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,22
2025-04-09 23:00:00+00:00,23.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,23
2025-04-10 00:00:00+00:00,22.8,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,24
2025-04-10 01:00:00+00:00,23.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,25
2025-04-10 02:00:00+00:00,25.8,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,26
2025-04-10 03:00:00+00:00,28.5,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,27
2025-04-10 04:00:00+00:00,31.4,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,28
2025-04-10 05:00:00+00:00,34.1,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,29
2025-04-10 06:00:00+00:00,35.5,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,30
2025-04-10 07:00:00+00:00,35.8,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,31
2025-04-10 08:00:00+00:00,36.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,32
2025-04-10 09:00:00+00:00,36.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,33
2025-04-10 10:00:00+00:00,36.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,34
2025-04-10 11:00:00+00:00,35.4,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,35
2025-04-10 12:00:00+00:00,33.9,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,36
2025-04-10 13:00:00+00:00,31.5,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,37
2025-04-10 14:00:00+00:00,29.7,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,38
2025-04-10 15:00:00+00:00,28.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,39
2025-04-10 16:00:00+00:00,27.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,40
2025-04-10 17:00:00+00:00,27.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,41
2025-04-10 18:00:00+00:00,26.4,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,42
2025-04-10 19:00:00+00:00,25.1,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,43
2025-04-10 20:00:00+00:00,25.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,44
2025-04-10 21:00:00+00:00,25.4,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,45
2025-04-10 22:00:00+00:00,24.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,46
2025-04-10 23:00:00+00:00,25.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,47
2025-04-11 00:00:00+00:00,24.9,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,48
2025-04-11 01:00:00+00:00,24.6,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,49
2025-04-11 02:00:00+00:00,26.0,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,50
2025-04-11 03:00:00+00:00,28.2,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,51
2025-04-11 04:00:00+00:00,30.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,52
2025-04-11 05:00:00+00:00,33.0,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,53
2025-04-11 06:00:00+00:00,35.3,2025-04-09 06:00:00+00:00,2025-04-09 00:00:00+00:00,54
2025-04-11 07:00:00+00:00,34.2,2025-04-11 06:00:00+00:00,2025-04-11 00:00:00+00:00,7
2025-04-11 08:00:00+00:00,35.6,2025-04-11 06:00:00+00:00,2025-04-11 00:00:00+00:00,8
