valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-09-22 07:00:00+00:00,32.1,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,31
2025-09-22 08:00:00+00:00,32.6,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,32
2025-09-22 09:00:00+00:00,32.7,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,33
2025-09-22 10:00:00+00:00,32.4,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,34
2025-09-22 11:00:00+00:00,30.9,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,35
2025-09-22 12:00:00+00:00,29.9,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,36
2025-09-22 13:00:00+00:00,28.3,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,37
2025-09-22 14:00:00+00:00,27.7,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,38
2025-09-22 15:00:00+00:00,26.8,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,39
2025-09-22 16:00:00+00:00,25.8,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,40
2025-09-22 17:00:00+00:00,25.5,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,41
2025-09-22 18:00:00+00:00,25.5,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,42
2025-09-22 19:00:00+00:00,25.5,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,43
2025-09-22 20:00:00+00:00,25.2,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,44
2025-09-22 21:00:00+00:00,25.0,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,45
2025-09-22 22:00:00+00:00,24.9,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,46
2025-09-22 23:00:00+00:00,24.9,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,47
2025-09-23 00:00:00+00:00,25.0,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,48
2025-09-23 01:00:00+00:00,25.3,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,49
2025-09-23 02:00:00+00:00,26.6,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,50
2025-09-23 03:00:00+00:00,27.7,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,51
2025-09-23 04:00:00+00:00,29.2,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,52
2025-09-23 05:00:00+00:00,30.1,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,53
2025-09-23 06:00:00+00:00,31.0,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,54
2025-09-23 07:00:00+00:00,31.4,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,7
2025-09-23 08:00:00+00:00,31.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,8
2025-09-23 09:00:00+00:00,32.1,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,9
2025-09-23 10:00:00+00:00,32.3,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,10
2025-09-23 11:00:00+00:00,30.0,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,11
2025-09-23 12:00:00+00:00,29.0,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,12
2025-09-23 13:00:00+00:00,28.0,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,13
2025-09-23 14:00:00+00:00,27.3,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,14
2025-09-23 15:00:00+00:00,26.9,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,15
2025-09-23 16:00:00+00:00,25.7,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,16
2025-09-23 17:00:00+00:00,25.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,17
2025-09-23 18:00:00+00:00,25.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,18
2025-09-23 19:00:00+00:00,25.3,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,19
2025-09-23 20:00:00+00:00,25.1,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,20
2025-09-23 21:00:00+00:00,25.3,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,21
2025-09-23 22:00:00+00:00,25.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,22
2025-09-23 23:00:00+00:00,25.8,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,23
2025-09-24 00:00:00+00:00,25.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,24
2025-09-24 01:00:00+00:00,25.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,25
2025-09-24 02:00:00+00:00,26.2,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,26
2025-09-24 03:00:00+00:00,27.4,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,27
2025-09-24 04:00:00+00:00,29.0,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,28
2025-09-24 05:00:00+00:00,30.3,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,29
2025-09-24 06:00:00+00:00,31.1,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,30
2025-09-24 07:00:00+00:00,32.0,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,31
2025-09-24 08:00:00+00:00,33.1,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,32
2025-09-24 09:00:00+00:00,33.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,33
2025-09-24 10:00:00+00:00,33.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,34
2025-09-24 11:00:00+00:00,32.7,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,35
2025-09-24 12:00:00+00:00,30.8,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,36
2025-09-24 13:00:00+00:00,27.2,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,37
2025-09-24 14:00:00+00:00,25.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,38
2025-09-24 15:00:00+00:00,24.9,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,39
2025-09-24 16:00:00+00:00,24.9,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,40
2025-09-24 17:00:00+00:00,24.9,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,41
2025-09-24 18:00:00+00:00,24.8,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,42
2025-09-24 19:00:00+00:00,24.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,43
2025-09-24 20:00:00+00:00,24.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,44
2025-09-24 21:00:00+00:00,24.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,45
2025-09-24 22:00:00+00:00,24.5,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,46
2025-09-24 23:00:00+00:00,24.6,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,47
2025-09-25 00:00:00+00:00,24.8,2025-09-23 06:00:00+00:00,2025-09-23 00:00:00+00:00,48
