date,state,demand
2022-06-27,Karnataka,10618.0
2022-06-28,Karnataka,11048.0
2022-06-29,Karnataka,11407.0
2022-06-30,Karnataka,11083.0
2022-07-01,Karnataka,10855.0
2022-07-02,Karnataka,10152.0
2022-07-03,Karnataka,9514.0
2022-07-04,Karnataka,10402.0
2022-07-05,Karnataka,9998.0
2022-07-06,Karnataka,9336.0
2022-07-07,Karnataka,8909.0
2022-07-08,Karnataka,8952.0
2022-07-09,Karnataka,8221.0
2022-07-10,Karnataka,7164.0
2022-07-11,Karnataka,8034.0
2022-07-12,Karnataka,8110.0
2022-07-13,Karnataka,8103.0
2022-07-14,Karnataka,8075.0
2022-07-15,Karnataka,8414.0
2022-07-16,Karnataka,8646.0
2022-07-17,Karnataka,7642.0
2022-07-18,Karnataka,8750.0
2022-07-19,Karnataka,9180.0
2022-07-20,Karnataka,9354.0
2022-07-21,Karnataka,9274.0
2022-07-22,Karnataka,10360.0
2022-07-23,Karnataka,9565.0
2022-07-24,Karnataka,8734.0
2022-07-25,Karnataka,10106.0
2022-07-26,Karnataka,10173.0
2022-07-27,Karnataka,10295.0
2022-07-28,Karnataka,9023.0
2022-07-29,Karnataka,9668.0
2022-07-30,Karnataka,8763.0
2022-07-31,Karnataka,7712.0
2022-08-01,Karnataka,8470.0
2022-08-02,Karnataka,7844.0
2022-08-03,Karnataka,8159.0
2022-08-04,Karnataka,8073.0
2022-08-05,Karnataka,8430.0
2022-08-06,Karnataka,7329.0
2022-08-07,Karnataka,6880.0
2022-08-08,Karnataka,7746.0
2022-08-09,Karnataka,7480.0
2022-08-10,Karnataka,7240.0
2022-08-11,Karnataka,7885.0
2022-08-12,Karnataka,8239.0
2022-08-13,Karnataka,8613.0
2022-08-14,Karnataka,8268.0
2022-08-15,Karnataka,8133.0
2022-08-16,Karnataka,9817.0
2022-08-17,Karnataka,10533.0
2022-08-18,Karnataka,10634.0
2022-08-19,Karnataka,11268.0
2022-08-20,Karnataka,11042.0
2022-08-21,Karnataka,10033.0
2022-08-22,Karnataka,10400.0
2022-08-23,Karnataka,10620.0
2022-08-24,Karnataka,11209.0
2022-08-25,Karnataka,10744.0
2022-08-26,Karnataka,10502.0
2022-08-27,Karnataka,9102.0
2022-08-28,Karnataka,8205.0
2022-08-29,Karnataka,9006.0
2022-08-30,Karnataka,9045.0
2022-08-31,Karnataka,8208.0
2022-09-01,Karnataka,8335.0
2022-09-02,Karnataka,8620.0
2022-09-03,Karnataka,9052.0
2022-09-04,Karnataka,8231.0
2022-09-05,Karnataka,8350.0
2022-09-06,Karnataka,7897.0
2022-09-07,Karnataka,8141.0
2022-09-08,Karnataka,8020.0
2022-09-09,Karnataka,8201.0
2022-09-10,Karnataka,7810.0
2022-09-11,Karnataka,6572.0
2022-09-12,Karnataka,7800.0
2022-09-13,Karnataka,8180.0
2022-09-14,Karnataka,8336.0
2022-09-15,Karnataka,8901.0
2022-09-16,Karnataka,8968.0
2022-09-17,Karnataka,9703.0
2022-09-18,Karnataka,9162.0
2022-09-19,Karnataka,10391.0
2022-09-20,Karnataka,10519.0
2022-09-21,Karnataka,10921.0
2022-09-22,Karnataka,11103.0
2022-09-23,Karnataka,11714.0
2022-09-24,Karnataka,11270.0
2022-09-25,Karnataka,11028.0
2022-09-26,Karnataka,11260.0
2022-09-27,Karnataka,11357.0
2022-09-28,Karnataka,11818.0
2022-09-29,Karnataka,11335.0
2022-09-30,Karnataka,10449.0
2022-10-01,Karnataka,8298.0
2022-10-02,Karnataka,7190.0
2022-10-03,Karnataka,8444.0
2022-10-04,Karnataka,8374.0
2022-10-05,Karnataka,8011.0
2022-10-06,Karnataka,9032.0
2022-10-07,Karnataka,9205.0
2022-10-08,Karnataka,8890.0
2022-10-09,Karnataka,8818.0
2022-10-10,Karnataka,8646.0
2022-10-11,Karnataka,8234.0
2022-10-12,Karnataka,8303.0
2022-10-13,Karnataka,8377.0
2022-10-14,Karnataka,8306.0
2022-10-15,Karnataka,7849.0
2022-10-16,Karnataka,7144.0
2022-10-17,Karnataka,7998.0
2022-10-18,Karnataka,8168.0
2022-10-19,Karnataka,8449.0
2022-10-20,Karnataka,8390.0
2022-10-21,Karnataka,8310.0
2022-10-22,Karnataka,7709.0
2022-10-23,Karnataka,7222.0
2022-10-24,Karnataka,7647.0
2022-10-25,Karnataka,8956.0
2022-10-26,Karnataka,8651.0
2022-10-27,Karnataka,9258.0
2022-10-28,Karnataka,10292.0
2022-10-29,Karnataka,9838.0
2022-10-30,Karnataka,9065.0
2022-10-31,Karnataka,9872.0
2022-11-01,Karnataka,9503.0
2022-11-02,Karnataka,9834.0
2022-11-03,Karnataka,9571.0
2022-11-04,Karnataka,9895.0
2022-11-05,Karnataka,10058.0
2022-11-06,Karnataka,9673.0
2022-11-07,Karnataka,10507.0
2022-11-08,Karnataka,10959.0
2022-11-09,Karnataka,11544.0
2022-11-10,Karnataka,11630.0
2022-11-11,Karnataka,11586.0
2022-11-12,Karnataka,10478.0
2022-11-13,Karnataka,9468.0
2022-11-14,Karnataka,10556.0
2022-11-15,Karnataka,11062.0
2022-11-16,Karnataka,11521.0
2022-11-17,Karnataka,11713.0
2022-11-18,Karnataka,12059.0
2022-11-19,Karnataka,11990.0
2022-11-20,Karnataka,11057.0
2022-11-21,Karnataka,12448.0
2022-11-22,Karnataka,11813.0
2022-11-23,Karnataka,11518.0
2022-11-24,Karnataka,10634.0
2022-11-25,Karnataka,11139.0
2022-11-26,Karnataka,11233.0
2022-11-27,Karnataka,10775.0
2022-11-28,Karnataka,11835.0
2022-11-29,Karnataka,11760.0
2022-11-30,Karnataka,11936.0
2022-12-01,Karnataka,12112.0
2022-12-02,Karnataka,12165.5
2022-12-03,Karnataka,12219.0
2022-12-04,Karnataka,11498.0
2022-12-05,Karnataka,12716.0
2022-12-06,Karnataka,12719.0
2022-12-07,Karnataka,12582.0
2022-12-08,Karnataka,12147.0
2022-12-09,Karnataka,12536.0
2022-12-10,Karnataka,11483.0
2022-12-11,Karnataka,8405.0
2022-12-12,Karnataka,9034.0
2022-12-13,Karnataka,9115.0
2022-12-14,Karnataka,9080.0
2022-12-15,Karnataka,9476.0
2022-12-16,Karnataka,9772.0
2022-12-17,Karnataka,10418.0
2022-12-18,Karnataka,9650.0
2022-12-19,Karnataka,11370.0
2022-12-20,Karnataka,11590.0
2022-12-21,Karnataka,12160.0
2022-12-22,Karnataka,12394.0
2022-12-23,Karnataka,13149.0
2022-12-24,Karnataka,12425.0
2022-12-25,Karnataka,11472.0
2022-12-26,Karnataka,11526.0
2022-12-27,Karnataka,12004.0
2022-12-28,Karnataka,12621.0
2022-12-29,Karnataka,12504.0
2022-12-30,Karnataka,12867.0
2022-12-31,Karnataka,13135.0
2023-01-01,Karnataka,12522.0
2023-01-02,Karnataka,12943.0
2023-01-03,Karnataka,13107.0
2023-01-04,Karnataka,13231.0
2023-01-05,Karnataka,12914.0
2023-01-06,Karnataka,13406.0
2023-01-07,Karnataka,13190.0
2023-01-08,Karnataka,11856.0
2023-01-09,Karnataka,13102.0
2023-01-10,Karnataka,13179.0
2023-01-11,Karnataka,13448.0
2023-01-12,Karnataka,13765.0
2023-01-13,Karnataka,14303.0
2023-01-14,Karnataka,14000.0
2023-01-15,Karnataka,13175.0
2023-01-16,Karnataka,13468.0
2023-01-17,Karnataka,13682.0
2023-01-18,Karnataka,13675.0
2023-01-19,Karnataka,14003.0
2023-01-20,Karnataka,14178.0
2023-01-21,Karnataka,13926.0
2023-01-22,Karnataka,13361.0
2023-01-23,Karnataka,13952.0
2023-01-24,Karnataka,13916.0
2023-01-25,Karnataka,14300.0
2023-01-26,Karnataka,13230.0
2023-01-27,Karnataka,14225.0
2023-01-28,Karnataka,14031.0
2023-01-29,Karnataka,12985.0
2023-01-30,Karnataka,14597.0
2023-01-31,Karnataka,14972.0
2023-02-01,Karnataka,14664.0
2023-02-02,Karnataka,14302.0
2023-02-03,Karnataka,14503.0
2023-02-04,Karnataka,14691.0
2023-02-05,Karnataka,14042.0
2023-02-06,Karnataka,14713.0
2023-02-07,Karnataka,14703.0
2023-02-08,Karnataka,15100.0
2023-02-09,Karnataka,14956.0
2023-02-10,Karnataka,14754.0
2023-02-11,Karnataka,14787.0
2023-02-12,Karnataka,13920.0
2023-02-13,Karnataka,14683.0
2023-02-14,Karnataka,14960.0
2023-02-15,Karnataka,14770.0
2023-02-16,Karnataka,14919.0
2023-02-17,Karnataka,15220.0
2023-02-18,Karnataka,15405.0
2023-02-19,Karnataka,14097.0
2023-02-20,Karnataka,15244.0
2023-02-21,Karnataka,15404.0
2023-02-22,Karnataka,15289.0
2023-02-23,Karnataka,15202.0
2023-02-24,Karnataka,15200.0
2023-02-25,Karnataka,15207.0
2023-02-26,Karnataka,14354.0
2023-02-27,Karnataka,15430.0
2023-02-28,Karnataka,15543.0
2023-03-01,Karnataka,15374.0
2023-03-02,Karnataka,14728.0
2023-03-03,Karnataka,15242.0
2023-03-04,Karnataka,14929.0
2023-03-05,Karnataka,14360.0
2023-03-06,Karnataka,15305.0
2023-03-07,Karnataka,14240.0
2023-03-08,Karnataka,14959.0
2023-03-09,Karnataka,15352.0
