split,station,origin,run,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
train,43128599999,2025-03-04 06:00:00+00:00,2025-03-04 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
train,43279099999,2025-03-04 06:00:00+00:00,2025-03-04 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,48,0
train,42410099999,2025-03-06 06:00:00+00:00,2025-03-06 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,47,0
train,43128599999,2025-03-06 06:00:00+00:00,2025-03-06 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
train,43279099999,2025-03-06 06:00:00+00:00,2025-03-06 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,48,0
train,42410099999,2025-03-08 06:00:00+00:00,2025-03-08 00:00:00+00:00,ready,,,2.0,48,48
train,43128599999,2025-03-08 06:00:00+00:00,2025-03-08 00:00:00+00:00,ready,,,12.0,47,47
train,43279099999,2025-03-08 06:00:00+00:00,2025-03-08 00:00:00+00:00,ready,,,1.0,48,48
train,42410099999,2025-03-10 06:00:00+00:00,2025-03-10 00:00:00+00:00,ready,,,1.0,48,48
train,43128599999,2025-03-10 06:00:00+00:00,2025-03-10 00:00:00+00:00,ready,,,10.0,48,48
train,43279099999,2025-03-10 06:00:00+00:00,2025-03-10 00:00:00+00:00,ready,,,0.0,48,48
train,42410099999,2025-03-12 06:00:00+00:00,2025-03-12 00:00:00+00:00,ready,,,1.0,47,47
train,43128599999,2025-03-12 06:00:00+00:00,2025-03-12 00:00:00+00:00,ready,,,5.0,42,42
train,43279099999,2025-03-12 06:00:00+00:00,2025-03-12 00:00:00+00:00,ready,,,0.0,47,47
train,42410099999,2025-03-14 06:00:00+00:00,2025-03-14 00:00:00+00:00,ready,,,2.0,47,47
train,43128599999,2025-03-14 06:00:00+00:00,2025-03-14 00:00:00+00:00,ready,,,8.0,37,37
train,43279099999,2025-03-14 06:00:00+00:00,2025-03-14 00:00:00+00:00,ready,,,1.0,48,48
train,42410099999,2025-03-16 06:00:00+00:00,2025-03-16 00:00:00+00:00,ready,,,2.0,48,48
train,43128599999,2025-03-16 06:00:00+00:00,2025-03-16 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,43,0
train,43279099999,2025-03-16 06:00:00+00:00,2025-03-16 00:00:00+00:00,ready,,,1.0,48,48
train,42410099999,2025-03-18 06:00:00+00:00,2025-03-18 00:00:00+00:00,ready,,,2.0,47,47
train,43128599999,2025-03-18 06:00:00+00:00,2025-03-18 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,47,0
train,43279099999,2025-03-18 06:00:00+00:00,2025-03-18 00:00:00+00:00,ready,,,1.0,48,48
train,42410099999,2025-03-20 06:00:00+00:00,2025-03-20 00:00:00+00:00,ready,,,2.0,48,48
train,43128599999,2025-03-20 06:00:00+00:00,2025-03-20 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,46,0
train,43279099999,2025-03-20 06:00:00+00:00,2025-03-20 00:00:00+00:00,ready,,,0.0,48,48
train,42410099999,2025-03-22 06:00:00+00:00,2025-03-22 00:00:00+00:00,ready,,,2.0,47,47
train,43128599999,2025-03-22 06:00:00+00:00,2025-03-22 00:00:00+00:00,ready,,,13.0,41,41
train,43279099999,2025-03-22 06:00:00+00:00,2025-03-22 00:00:00+00:00,ready,,,0.0,48,48
train,42410099999,2025-03-24 06:00:00+00:00,2025-03-24 00:00:00+00:00,ready,,,2.0,44,44
train,43128599999,2025-03-24 06:00:00+00:00,2025-03-24 00:00:00+00:00,ready,,,10.0,44,44
train,43279099999,2025-03-24 06:00:00+00:00,2025-03-24 00:00:00+00:00,ready,,,0.0,47,47
train,42410099999,2025-03-26 06:00:00+00:00,2025-03-26 00:00:00+00:00,ready,,,5.0,5,5
train,43128599999,2025-03-26 06:00:00+00:00,2025-03-26 00:00:00+00:00,ready,,,14.0,35,35
train,43279099999,2025-03-26 06:00:00+00:00,2025-03-26 00:00:00+00:00,ready,,,1.0,39,39
train,42410099999,2025-03-28 06:00:00+00:00,2025-03-28 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,41,0
train,43128599999,2025-03-28 06:00:00+00:00,2025-03-28 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
train,43279099999,2025-03-28 06:00:00+00:00,2025-03-28 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,46,0
