origin_month,method,n,mae_c,rmse_c,bias_c
2025-09,persistence_c,376,3.4079787234042556,4.051707021396544,2.4186170212765967
2025-09,yesterday_c,376,1.197340425531915,1.7369574769106308,0.30478723404255326
2025-09,ecmwf_ifs_c,376,1.2752659574468086,1.6669423530856244,-0.8651595744680851
2025-09,bias_corrected_c,376,0.9875823167193528,1.3961490986378124,0.006063161610511697
2025-09,ridge_corrected_c,376,0.9390409970655544,1.2847104871012225,0.12886170156359586
2025-09,timesfm_c,376,1.0866371428712884,1.5673752729515922,0.34105525625512956
2025-09,timesfm_nwp_c,376,1.0054809732640044,1.4267768217389483,0.3766936444221659
2025-10,persistence_c,517,3.125918762088975,3.804255481417052,2.7893617021276604
2025-10,yesterday_c,517,1.283752417794971,1.7259482858687365,0.02727272727272724
2025-10,ecmwf_ifs_c,517,1.4829787234042555,1.8106337520711542,-1.1259187620889748
2025-10,bias_corrected_c,517,1.1013459802530803,1.3915729266489205,-0.269043562243161
2025-10,ridge_corrected_c,517,1.059330777277389,1.3290876902859683,-0.17452502108890058
2025-10,timesfm_c,517,1.113353226032663,1.4304788566543294,0.16369721875661117
2025-10,timesfm_nwp_c,517,0.8617727150538904,1.1363542597328025,-0.10781503230967421
2025-11,persistence_c,425,4.4312941176470595,5.443167330537919,4.182352941176471
2025-11,yesterday_c,425,1.1061176470588236,1.545627609058001,0.7705882352941177
2025-11,ecmwf_ifs_c,425,1.0943529411764708,1.3047514976378587,-0.6289411764705882
2025-11,bias_corrected_c,425,0.837428625084762,1.045793516290401,0.19218486169533716
2025-11,ridge_corrected_c,425,0.7327238104414509,0.9645041539100434,0.29253279645644215
2025-11,timesfm_c,425,1.1164414865830365,1.5353421334279085,0.7550000237857595
2025-11,timesfm_nwp_c,425,0.770652572631836,0.983725113649847,0.2448675213982077
