station,method,n,mae_c,rmse_c,bias_c
42410099999,persistence_c,476,4.445378151260505,5.276943665966268,4.328991596638657
42410099999,yesterday_c,476,1.0781512605042018,1.6147950412390064,0.46848739495798325
42410099999,ecmwf_ifs_c,476,1.1340336134453783,1.4145106348608532,-0.7105042016806721
42410099999,bias_corrected_c,476,0.8959821281288737,1.2591704918911752,0.29914246124697835
42410099999,ridge_corrected_c,476,0.8289012378036605,1.1926369080008599,0.21925006629657173
42410099999,timesfm_c,476,1.1592340749852799,1.6307396487308625,0.6770444108658479
42410099999,timesfm_nwp_c,476,0.8633776720832376,1.2602462685537454,0.2736973914779535
43128599999,persistence_c,365,3.9808219178082194,4.88133150485336,3.5753424657534247
43128599999,yesterday_c,365,1.4657534246575343,1.9210442365817892,0.4904109589041096
43128599999,ecmwf_ifs_c,365,0.9098630136986302,1.179005850079018,-0.20575342465753424
43128599999,bias_corrected_c,365,0.9173545031182765,1.1768560091854317,0.19305373240011944
43128599999,ridge_corrected_c,365,0.9993601537622363,1.2441769125907751,0.454488494837735
43128599999,timesfm_c,365,1.253354715321162,1.6681482664739165,0.5656737471280032
43128599999,timesfm_nwp_c,365,0.9211862224422089,1.197708058189973,0.1472664767748689
43279099999,persistence_c,477,2.5404612159329143,3.000670784546799,1.6004192872117402
43279099999,yesterday_c,477,1.1232704402515723,1.5196821912045135,0.11362683438155134
43279099999,ecmwf_ifs_c,477,1.7597484276729563,2.049420841643688,-1.5962264150943397
43279099999,bias_corrected_c,477,1.1222475931044618,1.4027977987799365,-0.5618315106357419
43279099999,ridge_corrected_c,477,0.94934507519689,1.200232739049498,-0.3935059324821867
43279099999,timesfm_c,477,0.9421319173816866,1.213088086496182,0.010480484872494044
43279099999,timesfm_nwp_c,477,0.8468007125694548,1.0880661552286375,0.012437972382679366
