station,origin,method,n,mae_c,rmse_c,bias_c
42410099999,2025-09-13 06:00:00+00:00,persistence_c,48,3.883333333333333,4.172629067306766,3.775
42410099999,2025-09-13 06:00:00+00:00,yesterday_c,48,1.4791666666666667,1.8751666592599179,1.2250000000000003
42410099999,2025-09-13 06:00:00+00:00,ecmwf_ifs_c,48,1.0083333333333335,1.2503332889007368,-0.5916666666666666
42410099999,2025-09-13 06:00:00+00:00,bias_corrected_c,48,0.8899116657319128,1.1781218808608984,0.41797999626098403
42410099999,2025-09-13 06:00:00+00:00,ridge_corrected_c,48,1.0646612624733078,1.3788284479274027,0.7932460560047957
42410099999,2025-09-13 06:00:00+00:00,timesfm_c,48,1.8184050639470417,2.2730281844925653,1.7222015301386515
42410099999,2025-09-13 06:00:00+00:00,timesfm_nwp_c,48,1.433605098724365,1.8099246616043494,1.3106845060984293
42410099999,2025-09-21 06:00:00+00:00,persistence_c,48,4.345833333333336,4.899617331996451,4.141666666666669
42410099999,2025-09-21 06:00:00+00:00,yesterday_c,48,0.6666666666666666,0.9293815147720552,-0.4083333333333332
42410099999,2025-09-21 06:00:00+00:00,ecmwf_ifs_c,48,1.1187500000000001,1.4703315952532612,-1.10625
42410099999,2025-09-21 06:00:00+00:00,bias_corrected_c,48,0.6294949990652462,0.973354068278093,-0.09660333707234929
42410099999,2025-09-21 06:00:00+00:00,ridge_corrected_c,48,0.6597080850014212,0.9640196889892678,-0.2782988606167682
42410099999,2025-09-21 06:00:00+00:00,timesfm_c,48,1.0612829287846883,1.5226497490214654,-0.6774581829706827
42410099999,2025-09-21 06:00:00+00:00,timesfm_nwp_c,48,0.803101658821106,1.0283435167464825,0.23933603763580327
42410099999,2025-09-29 06:00:00+00:00,persistence_c,46,5.5652173913043494,6.270080784445946,5.521739130434784
42410099999,2025-09-29 06:00:00+00:00,yesterday_c,46,1.5304347826086957,2.4155294675693058,0.7695652173913045
42410099999,2025-09-29 06:00:00+00:00,ecmwf_ifs_c,46,1.517391304347826,1.9719775993083473,-0.31739130434782603
42410099999,2025-09-29 06:00:00+00:00,bias_corrected_c,46,1.437299129459387,2.0657143785094734,0.6922553585798246
42410099999,2025-09-29 06:00:00+00:00,ridge_corrected_c,46,1.315494052019173,1.945817120087923,0.47213080757814513
42410099999,2025-09-29 06:00:00+00:00,timesfm_c,46,1.5471566490505053,2.455096582643161,1.417093616983165
42410099999,2025-09-29 06:00:00+00:00,timesfm_nwp_c,46,1.4863647626793903,2.3620886788457747,1.3882045414136805
42410099999,2025-10-07 06:00:00+00:00,persistence_c,48,3.1,3.709278905663471,2.908333333333333
42410099999,2025-10-07 06:00:00+00:00,yesterday_c,48,1.25,1.6736935203316046,-1.1583333333333334
42410099999,2025-10-07 06:00:00+00:00,ecmwf_ifs_c,48,1.5895833333333336,1.8864097292652697,-1.5770833333333334
42410099999,2025-10-07 06:00:00+00:00,bias_corrected_c,48,0.9067991680687976,1.1803957816385044,-0.5674366704056829
42410099999,2025-10-07 06:00:00+00:00,ridge_corrected_c,48,0.8919034178044541,1.1956059931883694,-0.7922181341947194
42410099999,2025-10-07 06:00:00+00:00,timesfm_c,48,0.6842969814936319,0.8943274713038343,-0.35641734600067143
42410099999,2025-10-07 06:00:00+00:00,timesfm_nwp_c,48,0.7802439133326212,1.0660429006276504,-0.6031545877456665
