lead_hours,method,n,mae_c,rmse_c,bias_c
1,persistence_c,26,0.7961538461538462,0.9916962934596151,-0.2807692307692304
1,yesterday_c,26,1.5384615384615385,2.1122354181147664,-0.15384615384615385
1,ecmwf_ifs_c,26,0.9923076923076928,1.4390167583350901,0.06153846153846187
1,bias_corrected_c,26,1.3242028798208283,1.7326666050019535,0.9397407160080161
1,ridge_corrected_c,26,0.8426607236897184,1.271862218979419,0.29351433436771335
1,timesfm_c,26,0.533503165611854,0.760262957922531,-0.011571297278771034
1,timesfm_nwp_c,26,0.5445352701040415,0.6991299709810614,0.06629474346454327
2,persistence_c,28,1.0250000000000001,1.2445595893441872,-0.546428571428571
2,yesterday_c,28,1.1071428571428572,1.7217101133134214,0.10714285714285714
2,ecmwf_ifs_c,28,1.017857142857143,1.471757938171705,-0.05357142857142806
2,bias_corrected_c,28,1.2157568478774654,1.65365309879968,0.7903883189401337
2,ridge_corrected_c,28,0.7880642745204353,1.236281674612178,0.27496785644877303
2,timesfm_c,28,0.713986873626709,0.8921509639794989,0.11731100082397461
2,timesfm_nwp_c,28,0.6534836632864816,0.7923437079949827,0.18870394570486887
3,persistence_c,28,1.3392857142857142,1.6469669092000607,-0.6607142857142856
3,yesterday_c,28,1.3857142857142861,1.9862024066041206,0.17142857142857146
3,ecmwf_ifs_c,28,1.3999999999999997,1.7454021231305326,-0.39999999999999986
3,bias_corrected_c,28,1.1997443907980683,1.6285349481818143,0.4439597475115618
3,ridge_corrected_c,28,1.1051692889647393,1.5467195757849164,0.09780721420767195
3,timesfm_c,28,1.0401508331298828,1.4510584145328445,0.1802763530186242
3,timesfm_nwp_c,28,0.8288120814732141,1.2717866855794175,0.21186490740094843
4,persistence_c,27,1.3592592592592594,1.6618820210387535,-0.27037037037037
4,yesterday_c,27,1.0,1.3743685418725535,0.1111111111111111
4,ecmwf_ifs_c,27,1.3407407407407406,1.704460379470636,-0.8296296296296295
4,bias_corrected_c,27,1.1018263212591022,1.4683895906234254,0.030817250861706294
4,ridge_corrected_c,27,0.9170459825044077,1.2705153082586866,-0.10555692304820286
4,timesfm_c,27,1.0443303849962022,1.3555487972693225,0.2132983031096282
4,timesfm_nwp_c,27,0.8410630402741609,1.091199880642842,0.21767665721752025
5,persistence_c,28,1.7392857142857143,1.93621501167318,0.3464285714285718
5,yesterday_c,28,1.3571428571428572,1.6690459207925603,0.07142857142857142
5,ecmwf_ifs_c,28,1.517857142857143,1.9236312387921817,-1.082142857142857
5,bias_corrected_c,28,1.0925936978347217,1.5884155382815115,-0.23818310963129605
5,ridge_corrected_c,28,0.996111408294969,1.4228635568352135,-0.2185366231997141
5,timesfm_c,28,1.0306342669895716,1.3178567208619563,0.19623517990112305
