verification_report_type,method,n,mae_c,rmse_c,bias_c
FM12,persistence_c,308,3.6058441558441556,4.445952485856491,3.025974025974026
FM12,yesterday_c,308,1.164935064935065,1.5932894992974218,0.39285714285714285
FM12,ecmwf_ifs_c,308,1.3275974025974027,1.6136290469927408,-1.082142857142857
FM12,bias_corrected_c,308,0.8952930805722209,1.1957383541607947,-0.060523830617443
FM12,ridge_corrected_c,308,0.8511996208018293,1.1553273247195572,-0.011250638674749876
FM12,timesfm_c,308,1.1084826568504433,1.5281414676410428,0.4200717368683258
FM12,timesfm_nwp_c,308,0.891139859038514,1.2401505550615268,0.190724111532236
FM15,persistence_c,1010,3.633861386138614,4.467550772066289,3.1653465346534655
FM15,yesterday_c,1010,1.213069306930693,1.696799549997373,0.33188118811881184
FM15,ecmwf_ifs_c,1010,1.2895049504950495,1.6232408604668345,-0.8330693069306931
FM15,bias_corrected_c,1010,1.0107759601208903,1.31950687565795,-0.03613452164700111
FM15,ridge_corrected_c,1010,0.9405857059205068,1.2259970147168346,0.08516257335718945
FM15,timesfm_c,1010,1.1061922347191537,1.4972658372303111,0.40035757782435655
FM15,timesfm_nwp_c,1010,0.8679738677374207,1.1649187105972016,0.129922880040537
