valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-11-03 14:00:00+00:00,23.3,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,38
2025-11-03 15:00:00+00:00,22.9,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,39
2025-11-03 16:00:00+00:00,22.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,40
2025-11-03 17:00:00+00:00,22.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,41
2025-11-03 18:00:00+00:00,22.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,42
2025-11-03 19:00:00+00:00,22.0,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,43
2025-11-03 20:00:00+00:00,21.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,44
2025-11-03 21:00:00+00:00,21.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,45
2025-11-03 22:00:00+00:00,21.7,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,46
2025-11-03 23:00:00+00:00,21.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,47
2025-11-04 00:00:00+00:00,21.4,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,48
2025-11-04 01:00:00+00:00,21.4,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,49
2025-11-04 02:00:00+00:00,22.4,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,50
2025-11-04 03:00:00+00:00,24.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,51
2025-11-04 04:00:00+00:00,25.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,52
2025-11-04 05:00:00+00:00,26.3,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,53
2025-11-04 06:00:00+00:00,27.1,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,54
2025-11-04 07:00:00+00:00,28.6,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,7
2025-11-04 08:00:00+00:00,25.9,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,8
2025-11-04 09:00:00+00:00,27.3,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,9
2025-11-04 10:00:00+00:00,27.8,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,10
2025-11-04 11:00:00+00:00,26.5,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,11
2025-11-04 12:00:00+00:00,25.1,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,12
2025-11-04 13:00:00+00:00,24.1,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,13
2025-11-04 14:00:00+00:00,23.1,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,14
2025-11-04 15:00:00+00:00,22.8,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,15
2025-11-04 16:00:00+00:00,22.5,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,16
2025-11-04 17:00:00+00:00,21.9,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,17
2025-11-04 18:00:00+00:00,21.6,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,18
2025-11-04 19:00:00+00:00,21.3,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,19
2025-11-04 20:00:00+00:00,21.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,20
2025-11-04 21:00:00+00:00,20.9,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,21
2025-11-04 22:00:00+00:00,21.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,22
2025-11-04 23:00:00+00:00,21.4,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,23
2025-11-05 00:00:00+00:00,21.4,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,24
2025-11-05 01:00:00+00:00,21.8,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,25
2025-11-05 02:00:00+00:00,23.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,26
2025-11-05 03:00:00+00:00,24.2,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,27
2025-11-05 04:00:00+00:00,26.2,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,28
2025-11-05 05:00:00+00:00,27.5,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,29
2025-11-05 06:00:00+00:00,28.2,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,30
2025-11-05 07:00:00+00:00,28.5,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,31
2025-11-05 08:00:00+00:00,28.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,32
2025-11-05 09:00:00+00:00,28.6,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,33
2025-11-05 10:00:00+00:00,28.4,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,34
2025-11-05 11:00:00+00:00,28.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,35
2025-11-05 12:00:00+00:00,26.3,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,36
2025-11-05 13:00:00+00:00,24.9,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,37
2025-11-05 14:00:00+00:00,24.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,38
2025-11-05 15:00:00+00:00,23.1,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,39
2025-11-05 16:00:00+00:00,22.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,40
2025-11-05 17:00:00+00:00,22.1,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,41
2025-11-05 18:00:00+00:00,21.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,42
2025-11-05 19:00:00+00:00,21.2,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,43
2025-11-05 20:00:00+00:00,20.9,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,44
2025-11-05 21:00:00+00:00,20.6,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,45
2025-11-05 22:00:00+00:00,20.4,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,46
2025-11-05 23:00:00+00:00,20.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,47
2025-11-06 00:00:00+00:00,19.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,48
2025-11-06 01:00:00+00:00,19.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,49
2025-11-06 02:00:00+00:00,21.7,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,50
2025-11-06 03:00:00+00:00,23.5,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,51
2025-11-06 04:00:00+00:00,25.0,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,52
2025-11-06 05:00:00+00:00,26.3,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,53
2025-11-06 06:00:00+00:00,27.2,2025-11-04 06:00:00+00:00,2025-11-04 00:00:00+00:00,54
2025-11-06 07:00:00+00:00,28.4,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,7
2025-11-06 08:00:00+00:00,29.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,8
2025-11-06 09:00:00+00:00,28.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,9
2025-11-06 10:00:00+00:00,28.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,10
2025-11-06 11:00:00+00:00,27.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,11
2025-11-06 12:00:00+00:00,26.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,12
2025-11-06 13:00:00+00:00,24.5,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,13
2025-11-06 14:00:00+00:00,24.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,14
2025-11-06 15:00:00+00:00,23.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,15
2025-11-06 16:00:00+00:00,22.3,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,16
2025-11-06 17:00:00+00:00,22.1,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,17
2025-11-06 18:00:00+00:00,21.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,18
2025-11-06 19:00:00+00:00,20.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,19
2025-11-06 20:00:00+00:00,20.3,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,20
2025-11-06 21:00:00+00:00,20.1,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,21
2025-11-06 22:00:00+00:00,20.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,22
2025-11-06 23:00:00+00:00,19.9,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,23
2025-11-07 00:00:00+00:00,19.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,24
2025-11-07 01:00:00+00:00,19.4,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,25
2025-11-07 02:00:00+00:00,22.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,26
2025-11-07 03:00:00+00:00,24.1,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,27
2025-11-07 04:00:00+00:00,26.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,28
2025-11-07 05:00:00+00:00,27.2,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,29
2025-11-07 06:00:00+00:00,28.2,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,30
2025-11-07 07:00:00+00:00,28.9,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,31
2025-11-07 08:00:00+00:00,29.3,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,32
2025-11-07 09:00:00+00:00,29.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,33
