valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-04-20 07:00:00+00:00,37.3,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,31
2025-04-20 08:00:00+00:00,36.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,32
2025-04-20 09:00:00+00:00,36.3,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,33
2025-04-20 10:00:00+00:00,35.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,34
2025-04-20 11:00:00+00:00,34.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,35
2025-04-20 12:00:00+00:00,32.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,36
2025-04-20 13:00:00+00:00,30.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,37
2025-04-20 14:00:00+00:00,30.3,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,38
2025-04-20 15:00:00+00:00,29.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,39
2025-04-20 16:00:00+00:00,29.5,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,40
2025-04-20 17:00:00+00:00,29.2,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,41
2025-04-20 18:00:00+00:00,29.0,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,42
2025-04-20 19:00:00+00:00,28.7,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,43
2025-04-20 20:00:00+00:00,28.4,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,44
2025-04-20 21:00:00+00:00,28.0,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,45
2025-04-20 22:00:00+00:00,27.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,46
2025-04-20 23:00:00+00:00,27.2,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,47
2025-04-21 00:00:00+00:00,27.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,48
