station,origin,method,n,mae_c,rmse_c,bias_c
42410099999,2025-04-19 06:00:00+00:00,persistence_c,43,3.9767441860465116,4.682972619836629,3.3255813953488373
42410099999,2025-04-19 06:00:00+00:00,yesterday_c,43,2.2325581395348837,2.9491819914350232,-1.7209302325581395
42410099999,2025-04-19 06:00:00+00:00,ecmwf_ifs_c,43,1.9023255813953495,2.2664386570226234,-1.7534883720930237
42410099999,2025-04-19 06:00:00+00:00,bias_corrected_c,43,1.5189119530522024,1.8803882111330328,-1.214016931342811
42410099999,2025-04-19 06:00:00+00:00,ridge_corrected_c,43,1.3003084875785331,1.6311365689853181,-0.4482558457727563
42410099999,2025-04-19 06:00:00+00:00,timesfm_c,43,1.474960061006768,1.708262483812856,-1.1258846549100654
42410099999,2025-04-19 06:00:00+00:00,timesfm_nwp_c,43,1.562032743941906,1.7771140343560867,-1.31603143381518
42410099999,2025-04-21 06:00:00+00:00,persistence_c,43,2.697674418604651,2.9727444058185664,2.2325581395348837
42410099999,2025-04-21 06:00:00+00:00,yesterday_c,43,1.558139534883721,2.062962421734427,-0.3488372093023256
42410099999,2025-04-21 06:00:00+00:00,ecmwf_ifs_c,43,2.395348837209302,2.6946113323739547,-2.3767441860465115
42410099999,2025-04-21 06:00:00+00:00,bias_corrected_c,43,1.8921072979242262,2.2332909455019165,-1.8372727452962994
42410099999,2025-04-21 06:00:00+00:00,ridge_corrected_c,43,0.7957528879725729,1.096210587312985,-0.03182082479249434
42410099999,2025-04-21 06:00:00+00:00,timesfm_c,43,1.3267800530721976,1.5315826688556158,-0.7671540282493414
42410099999,2025-04-21 06:00:00+00:00,timesfm_nwp_c,43,1.3075503859409066,1.4849018391412794,-0.90964179815248
42410099999,2025-04-23 06:00:00+00:00,persistence_c,45,3.7111111111111112,4.2972859651955515,2.022222222222222
42410099999,2025-04-23 06:00:00+00:00,yesterday_c,45,2.688888888888889,3.441575866437415,-1.8
42410099999,2025-04-23 06:00:00+00:00,ecmwf_ifs_c,45,1.8733333333333335,2.501332977967281,-1.6333333333333333
42410099999,2025-04-23 06:00:00+00:00,bias_corrected_c,45,1.5522231694610216,2.1875609086227557,-1.093861892583121
42410099999,2025-04-23 06:00:00+00:00,ridge_corrected_c,45,1.700315311423299,2.0609420617984764,0.1164835745529428
42410099999,2025-04-23 06:00:00+00:00,timesfm_c,45,1.8071503533257378,2.2414573764391847,-1.035171424018012
42410099999,2025-04-23 06:00:00+00:00,timesfm_nwp_c,45,1.554462687174479,1.8394137461935778,-0.5075615776909722
42410099999,2025-04-25 06:00:00+00:00,persistence_c,34,3.264705882352941,4.06201920231798,1.5588235294117647
42410099999,2025-04-25 06:00:00+00:00,yesterday_c,34,1.3235294117647058,1.7063893769835632,0.20588235294117646
42410099999,2025-04-25 06:00:00+00:00,ecmwf_ifs_c,34,2.8529411764705883,3.3050763095221725,-2.8470588235294114
42410099999,2025-04-25 06:00:00+00:00,bias_corrected_c,34,2.393345368838073,2.853549543338924,-2.3075873827791997
42410099999,2025-04-25 06:00:00+00:00,ridge_corrected_c,34,1.4652353326076,1.638155410249861,-0.5866520409653577
42410099999,2025-04-25 06:00:00+00:00,timesfm_c,34,1.452236063340131,1.6293081346518825,-0.6977212569292854
42410099999,2025-04-25 06:00:00+00:00,timesfm_nwp_c,34,1.5175001481000114,1.7405732336980126,-0.8247087142046761
43128599999,2025-04-05 06:00:00+00:00,persistence_c,45,3.888888888888889,4.292111627418632,2.022222222222222
43128599999,2025-04-05 06:00:00+00:00,yesterday_c,45,2.066666666666667,2.3711225658371653,-2.022222222222222
43128599999,2025-04-05 06:00:00+00:00,ecmwf_ifs_c,45,1.2666666666666664,1.4769337606451187,-1.2
43128599999,2025-04-05 06:00:00+00:00,bias_corrected_c,45,1.1739457567804017,1.3818229773513488,-1.0807874015748025
43128599999,2025-04-05 06:00:00+00:00,ridge_corrected_c,45,0.9181260366188053,1.113239347350038,-0.8051684406534462
43128599999,2025-04-05 06:00:00+00:00,timesfm_c,45,1.5911272684733073,1.8251978322963562,-1.5911272684733073
43128599999,2025-04-05 06:00:00+00:00,timesfm_nwp_c,45,1.3784845140245225,1.5297407829942826,-1.3619146558973525
43128599999,2025-04-07 06:00:00+00:00,persistence_c,46,6.086956521739131,7.324764427136444,5.913043478260869
43128599999,2025-04-07 06:00:00+00:00,yesterday_c,46,1.0,1.285369173834303,0.43478260869565216
43128599999,2025-04-07 06:00:00+00:00,ecmwf_ifs_c,46,1.1217391304347828,1.3508451460828708,-0.8347826086956524
43128599999,2025-04-07 06:00:00+00:00,bias_corrected_c,46,1.0560287572749059,1.2806096378340255,-0.7155700102704546
43128599999,2025-04-07 06:00:00+00:00,ridge_corrected_c,46,0.7726883465676859,0.9659108220038535,0.33493634861874233
43128599999,2025-04-07 06:00:00+00:00,timesfm_c,46,0.8028328522391941,1.0140812557888417,0.4072670729263969
43128599999,2025-04-07 06:00:00+00:00,timesfm_nwp_c,46,0.809802013894786,0.9779797603565106,0.054866790771484375
43128599999,2025-04-09 06:00:00+00:00,persistence_c,45,6.0,6.892830413633511,5.377777777777778
43128599999,2025-04-09 06:00:00+00:00,yesterday_c,45,1.6444444444444444,2.6331223544175333,0.9333333333333333
43128599999,2025-04-09 06:00:00+00:00,ecmwf_ifs_c,45,2.0000000000000004,2.7460678958993143,1.3111111111111113
43128599999,2025-04-09 06:00:00+00:00,bias_corrected_c,45,2.0503342082239726,2.804942505163267,1.4303237095363088
43128599999,2025-04-09 06:00:00+00:00,ridge_corrected_c,45,2.199929008215479,3.1192729318553547,1.9833522235082373
43128599999,2025-04-09 06:00:00+00:00,timesfm_c,45,1.305453152126736,2.0328118376944686,0.6585924784342448
43128599999,2025-04-09 06:00:00+00:00,timesfm_nwp_c,45,1.946210183037652,2.8562121709954393,1.8355147043863933
43128599999,2025-04-11 06:00:00+00:00,persistence_c,46,3.869565217391304,4.308737331435318,1.7826086956521738
43128599999,2025-04-11 06:00:00+00:00,yesterday_c,46,2.9347826086956523,4.029780444984889,-2.717391304347826
43128599999,2025-04-11 06:00:00+00:00,ecmwf_ifs_c,46,1.643478260869565,1.9923767759616415,-0.32173913043478225
43128599999,2025-04-11 06:00:00+00:00,bias_corrected_c,46,1.623580965422801,1.976629997117874,-0.20252653200958448
43128599999,2025-04-11 06:00:00+00:00,ridge_corrected_c,46,1.5381746273920118,1.9677907498039213,-0.35140443761005175
43128599999,2025-04-11 06:00:00+00:00,timesfm_c,46,1.5220237400220789,1.8112038844716716,-1.3646738632865574
43128599999,2025-04-11 06:00:00+00:00,timesfm_nwp_c,46,1.756663820017939,2.1412725771850663,-1.6790986683057703
43128599999,2025-04-13 06:00:00+00:00,persistence_c,46,5.934782608695652,6.951696696240547,5.456521739130435
43128599999,2025-04-13 06:00:00+00:00,yesterday_c,46,1.6521739130434783,2.4934697319895074,1.0869565217391304
43128599999,2025-04-13 06:00:00+00:00,ecmwf_ifs_c,46,1.5152173913043476,1.9140782774416287,0.04999999999999994
43128599999,2025-04-13 06:00:00+00:00,bias_corrected_c,46,1.5316021910304696,1.9208926455270012,0.1692125984251977
43128599999,2025-04-13 06:00:00+00:00,ridge_corrected_c,46,1.6693163327965417,2.1870229700942962,1.198622777872044
43128599999,2025-04-13 06:00:00+00:00,timesfm_c,46,1.0827375909556514,1.6706696740610953,0.7225981587949006
43128599999,2025-04-13 06:00:00+00:00,timesfm_nwp_c,46,1.231659391651983,1.8579182801428071,0.726466759391453
43128599999,2025-04-15 06:00:00+00:00,persistence_c,48,5.208333333333333,6.089608635481704,4.875
43128599999,2025-04-15 06:00:00+00:00,yesterday_c,48,1.4166666666666667,1.8142950880897701,-0.5416666666666666
43128599999,2025-04-15 06:00:00+00:00,ecmwf_ifs_c,48,1.3624999999999998,1.638088316707415,0.6083333333333331
43128599999,2025-04-15 06:00:00+00:00,bias_corrected_c,48,1.393103674540683,1.6859973225682419,0.7275459317585309
43128599999,2025-04-15 06:00:00+00:00,ridge_corrected_c,48,1.510382790401844,1.8154508414230945,1.2541572599986217
43128599999,2025-04-15 06:00:00+00:00,timesfm_c,48,1.1283797025680542,1.459687319792518,0.019080201784769695
43128599999,2025-04-15 06:00:00+00:00,timesfm_nwp_c,48,1.0005216995875041,1.3871635487649117,0.43121643861134845
43128599999,2025-04-19 06:00:00+00:00,persistence_c,46,4.0,4.413418274938964,2.4347826086956523
43128599999,2025-04-19 06:00:00+00:00,yesterday_c,46,1.9130434782608696,2.4583486857786396,-1.173913043478261
43128599999,2025-04-19 06:00:00+00:00,ecmwf_ifs_c,46,1.3478260869565217,1.9598136557380632,0.2782608695652174
43128599999,2025-04-19 06:00:00+00:00,bias_corrected_c,46,1.3478260869565215,1.9802589758520295,0.3974734679904152
43128599999,2025-04-19 06:00:00+00:00,ridge_corrected_c,46,1.4635336373662113,2.1043740013447265,0.8500879208350749
43128599999,2025-04-19 06:00:00+00:00,timesfm_c,46,1.5799568010413128,1.9712016788643933,-0.8588716258173403
43128599999,2025-04-19 06:00:00+00:00,timesfm_nwp_c,46,1.4823482762212339,1.9120148254094407,-0.7267525299735691
43128599999,2025-04-21 06:00:00+00:00,persistence_c,46,5.108695652173913,6.030718466102634,4.5
43128599999,2025-04-21 06:00:00+00:00,yesterday_c,46,2.0,2.7741038505998734,-1.8695652173913044
43128599999,2025-04-21 06:00:00+00:00,ecmwf_ifs_c,46,1.2869565217391306,1.5318360679689047,-0.46956521739130436
43128599999,2025-04-21 06:00:00+00:00,bias_corrected_c,46,1.2454912701129743,1.499592345727032,-0.3503526189661067
43128599999,2025-04-21 06:00:00+00:00,ridge_corrected_c,46,1.2347566923164732,1.5565055591219141,0.5654773439303016
43128599999,2025-04-21 06:00:00+00:00,timesfm_c,46,1.9569996958193572,2.388620178905943,-1.8001512859178626
43128599999,2025-04-21 06:00:00+00:00,timesfm_nwp_c,46,1.6208324017732039,2.087439130343062,-1.3416410114454187
43128599999,2025-04-23 06:00:00+00:00,persistence_c,45,4.466666666666667,5.422176684690384,4.022222222222222
43128599999,2025-04-23 06:00:00+00:00,yesterday_c,45,0.6666666666666666,0.9660917830792959,-0.35555555555555557
43128599999,2025-04-23 06:00:00+00:00,ecmwf_ifs_c,45,1.4400000000000006,1.6575752035897364,-1.2888888888888894
43128599999,2025-04-23 06:00:00+00:00,bias_corrected_c,45,1.3419807524059488,1.5666727840002912,-1.169676290463691
43128599999,2025-04-23 06:00:00+00:00,ridge_corrected_c,45,0.6421515075926973,0.8640772301743652,0.36429271414012604
43128599999,2025-04-23 06:00:00+00:00,timesfm_c,45,1.4728309207492405,1.658597146297358,-1.42619751824273
43128599999,2025-04-23 06:00:00+00:00,timesfm_nwp_c,45,1.2608497619628907,1.4425951917345798,-1.1936036851671008
43128599999,2025-04-25 06:00:00+00:00,persistence_c,45,5.8,6.949020714380472,5.444444444444445
43128599999,2025-04-25 06:00:00+00:00,yesterday_c,45,1.4222222222222223,1.8618986725025255,1.0222222222222221
43128599999,2025-04-25 06:00:00+00:00,ecmwf_ifs_c,45,1.4911111111111117,1.973209455571191,-1.0422222222222222
43128599999,2025-04-25 06:00:00+00:00,bias_corrected_c,45,1.4416307961504806,1.9129231978005947,-0.9230096237970242
43128599999,2025-04-25 06:00:00+00:00,ridge_corrected_c,45,1.4214981622721528,1.7640547407083285,0.8202908895998633
43128599999,2025-04-25 06:00:00+00:00,timesfm_c,45,1.3987611558702258,1.8639782159477052,1.1740815904405382
43128599999,2025-04-25 06:00:00+00:00,timesfm_nwp_c,45,1.0988968319363064,1.387430734611351,0.18750987582736545
43128599999,2025-04-27 06:00:00+00:00,persistence_c,45,3.422222222222222,4.005551702879947,2.0
43128599999,2025-04-27 06:00:00+00:00,yesterday_c,45,2.2222222222222223,2.882899774725287,1.2
43128599999,2025-04-27 06:00:00+00:00,ecmwf_ifs_c,45,0.9200000000000002,1.2804513093263468,-0.18666666666666665
43128599999,2025-04-27 06:00:00+00:00,bias_corrected_c,45,0.88641469816273,1.268566577848178,-0.067454068241469
43128599999,2025-04-27 06:00:00+00:00,ridge_corrected_c,45,1.683630604416566,2.1134399119109215,1.6105772209097293
43128599999,2025-04-27 06:00:00+00:00,timesfm_c,45,1.024278089735243,1.2684106070990713,0.24638426038953992
43128599999,2025-04-27 06:00:00+00:00,timesfm_nwp_c,45,0.9302834828694662,1.189498412234939,0.04838362799750434
43279099999,2025-04-05 06:00:00+00:00,persistence_c,48,2.1041666666666665,2.48746859276655,1.6041666666666667
43279099999,2025-04-05 06:00:00+00:00,yesterday_c,48,0.5208333333333334,0.82915619758885,-0.10416666666666667
43279099999,2025-04-05 06:00:00+00:00,ecmwf_ifs_c,48,1.3104166666666666,1.5300462955958771,-1.14375
43279099999,2025-04-05 06:00:00+00:00,bias_corrected_c,48,0.8941231854286498,1.0217712895133,-0.10554129005751893
43279099999,2025-04-05 06:00:00+00:00,ridge_corrected_c,48,0.7407279746264975,0.9205621591664888,0.6719323233634612
43279099999,2025-04-05 06:00:00+00:00,timesfm_c,48,0.6740758816401163,0.8394080444724007,-0.43595842520395917
43279099999,2025-04-05 06:00:00+00:00,timesfm_nwp_c,48,0.6283601919809977,0.7951946923755591,-0.46295762062072754
43279099999,2025-04-07 06:00:00+00:00,persistence_c,48,3.3333333333333335,3.905124837953327,3.2916666666666665
43279099999,2025-04-07 06:00:00+00:00,yesterday_c,48,0.375,0.6123724356957945,0.0
43279099999,2025-04-07 06:00:00+00:00,ecmwf_ifs_c,48,0.9708333333333337,1.145280169507299,-0.5500000000000003
