valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-11-17 07:00:00+00:00,28.5,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,31
2025-11-17 08:00:00+00:00,28.7,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,32
2025-11-17 09:00:00+00:00,28.4,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,33
2025-11-17 10:00:00+00:00,27.1,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,34
2025-11-17 11:00:00+00:00,24.1,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,35
2025-11-17 12:00:00+00:00,22.9,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,36
2025-11-17 13:00:00+00:00,22.3,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,37
2025-11-17 14:00:00+00:00,21.6,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,38
2025-11-17 15:00:00+00:00,20.7,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,39
2025-11-17 16:00:00+00:00,19.5,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,40
2025-11-17 17:00:00+00:00,18.5,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,41
2025-11-17 18:00:00+00:00,17.5,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,42
2025-11-17 19:00:00+00:00,16.9,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,43
2025-11-17 20:00:00+00:00,16.6,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,44
2025-11-17 21:00:00+00:00,16.3,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,45
2025-11-17 22:00:00+00:00,16.1,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,46
2025-11-17 23:00:00+00:00,15.8,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,47
2025-11-18 00:00:00+00:00,15.5,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,48
2025-11-18 01:00:00+00:00,16.3,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,49
2025-11-18 02:00:00+00:00,18.8,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,50
2025-11-18 03:00:00+00:00,21.1,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,51
2025-11-18 04:00:00+00:00,23.7,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,52
2025-11-18 05:00:00+00:00,25.8,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,53
2025-11-18 06:00:00+00:00,27.2,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,54
2025-11-18 07:00:00+00:00,28.2,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,7
2025-11-18 08:00:00+00:00,28.4,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,8
2025-11-18 09:00:00+00:00,28.2,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,9
2025-11-18 10:00:00+00:00,27.0,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,10
2025-11-18 11:00:00+00:00,24.4,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,11
2025-11-18 12:00:00+00:00,22.8,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,12
2025-11-18 13:00:00+00:00,22.1,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,13
2025-11-18 14:00:00+00:00,21.9,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,14
2025-11-18 15:00:00+00:00,21.7,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,15
2025-11-18 16:00:00+00:00,20.3,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,16
2025-11-18 17:00:00+00:00,19.1,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,17
2025-11-18 18:00:00+00:00,18.1,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,18
2025-11-18 19:00:00+00:00,17.5,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,19
2025-11-18 20:00:00+00:00,17.2,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,20
2025-11-18 21:00:00+00:00,17.0,2025-11-18 06:00:00+00:00,2025-11-18 00:00:00+00:00,21
