valid_time,lead_hours,run_lead_hours,observed_c,persistence_c,yesterday_c,ecmwf_ifs_c,scored,timesfm_c,timesfm_p10_c,timesfm_p20_c,timesfm_p30_c,timesfm_p40_c,timesfm_p50_c,timesfm_p60_c,timesfm_p70_c,timesfm_p80_c,timesfm_p90_c
2025-07-01 07:00:00+00:00,1,7,29.0,29.0,32.0,31.6,True,29.419748306274414,28.592580795288086,28.907983779907227,29.103734970092773,29.27469825744629,29.419748306274414,29.56011962890625,29.71152687072754,29.91021156311035,30.27344512939453
2025-07-01 08:00:00+00:00,2,8,30.0,29.0,33.0,31.9,True,29.641298294067383,28.530845642089844,28.964292526245117,29.22991180419922,29.460124969482422,29.641298294067383,29.826963424682617,30.07525062561035,30.423877716064453,30.925329208374023
2025-07-01 09:00:00+00:00,3,9,31.0,29.0,32.0,31.4,True,29.76026153564453,28.352863311767578,28.88395881652832,29.22853660583496,29.516258239746094,29.76026153564453,29.998403549194336,30.306251525878906,30.721450805664062,31.309879302978516
2025-07-01 10:00:00+00:00,4,10,31.0,29.0,30.0,28.0,True,29.649538040161133,28.152137756347656,28.736825942993164,29.09494400024414,29.398515701293945,29.649538040161133,29.8958797454834,30.24160385131836,30.685087203979492,31.30707550048828
2025-07-01 11:00:00+00:00,5,11,31.0,29.0,31.0,28.4,True,29.468050003051758,27.780630111694336,28.416505813598633,28.82198715209961,29.14719009399414,29.468050003051758,29.796009063720703,30.19366455078125,30.680105209350586,31.360340118408203
2025-07-01 12:00:00+00:00,6,12,31.0,29.0,30.0,28.4,True,29.04709243774414,27.410358428955078,28.031055450439453,28.4268798828125,28.750885009765625,29.04709243774414,29.354883193969727,29.722408294677734,30.205730438232422,30.85338592529297
2025-07-01 13:00:00+00:00,7,13,30.0,29.0,30.0,28.0,True,28.62439727783203,27.067140579223633,27.688079833984375,28.072175979614258,28.35499382019043,28.62439727783203,28.901426315307617,29.226221084594727,29.668167114257812,30.317502975463867
2025-07-01 14:00:00+00:00,8,14,30.0,29.0,29.0,27.9,True,28.302154541015625,26.86489486694336,27.442296981811523,27.818580627441406,28.07012367248535,28.302154541015625,28.54143714904785,28.848539352416992,29.247474670410156,29.84992790222168
2025-07-01 15:00:00+00:00,9,15,29.0,29.0,29.0,27.0,True,28.127220153808594,26.720943450927734,27.28487205505371,27.649784088134766,27.905853271484375,28.127220153808594,28.37005043029785,28.65328598022461,29.029762268066406,29.624353408813477
2025-07-01 16:00:00+00:00,10,16,29.0,29.0,29.0,26.8,True,27.966630935668945,26.575157165527344,27.125232696533203,27.497591018676758,27.746381759643555,27.966630935668945,28.202436447143555,28.47876739501953,28.82299041748047,29.392730712890625
2025-07-01 17:00:00+00:00,11,17,29.0,29.0,29.0,25.9,True,27.782445907592773,26.390674591064453,26.961427688598633,27.329694747924805,27.560983657836914,27.782445907592773,28.02068519592285,28.265899658203125,28.604177474975586,29.148855209350586
2025-07-01 18:00:00+00:00,12,18,28.0,29.0,28.0,26.1,True,27.62085723876953,26.24928855895996,26.801969528198242,27.164396286010742,27.39999771118164,27.62085723876953,27.83772087097168,28.075077056884766,28.387165069580078,28.89076805114746
2025-07-01 19:00:00+00:00,13,19,28.0,29.0,28.0,26.0,True,27.53761100769043,26.160306930541992,26.72562026977539,27.093873977661133,27.32267189025879,27.53761100769043,27.759868621826172,27.989885330200195,28.285619735717773,28.773576736450195
2025-07-01 20:00:00+00:00,14,20,28.0,29.0,28.0,26.0,True,27.418195724487305,26.02874755859375,26.6065673828125,26.980724334716797,27.206300735473633,27.418195724487305,27.623945236206055,27.83381462097168,28.114295959472656,28.59483528137207
2025-07-01 21:00:00+00:00,15,21,28.0,29.0,28.0,25.8,True,27.398521423339844,25.955503463745117,26.555301666259766,26.95306968688965,27.189769744873047,27.398521423339844,27.60562515258789,27.819686889648438,28.093883514404297,28.55632972717285
2025-07-01 22:00:00+00:00,16,22,28.0,29.0,28.0,25.7,True,27.290538787841797,25.755842208862305,26.395647048950195,26.81884765625,27.080259323120117,27.290538787841797,27.518911361694336,27.735475540161133,28.023313522338867,28.528711318969727
2025-07-01 23:00:00+00:00,17,23,28.0,29.0,28.0,25.7,True,27.1978759765625,25.630319595336914,26.287548065185547,26.71764373779297,26.985328674316406,27.1978759765625,27.4171199798584,27.650083541870117,27.952098846435547,28.4592342376709
2025-07-02 00:00:00+00:00,18,24,28.0,29.0,28.0,26.0,True,27.259191513061523,25.706926345825195,26.358604431152344,26.784568786621094,27.05311393737793,27.259191513061523,27.475820541381836,27.714927673339844,28.034509658813477,28.541446685791016
2025-07-02 01:00:00+00:00,19,25,28.0,29.0,29.0,26.7,True,27.570226669311523,25.896137237548828,26.5942325592041,27.048809051513672,27.329925537109375,27.570226669311523,27.82305145263672,28.097097396850586,28.480806350708008,29.060880661010742
2025-07-02 02:00:00+00:00,20,26,27.0,29.0,29.0,27.4,True,28.009693145751953,26.16269302368164,26.898521423339844,27.393009185791016,27.724292755126953,28.009693145751953,28.296857833862305,28.634305953979492,29.0493221282959,29.695140838623047
2025-07-02 03:00:00+00:00,21,27,28.0,29.0,30.0,28.8,True,28.483213424682617,26.36016273498535,27.178974151611328,27.737180709838867,28.13679313659668,28.483213424682617,28.83326530456543,29.244739532470703,29.728137969970703,30.476423263549805
2025-07-02 04:00:00+00:00,22,28,28.0,29.0,28.0,29.8,True,28.965293884277344,26.667945861816406,27.52672004699707,28.123031616210938,28.577619552612305,28.965293884277344,29.366233825683594,29.82280731201172,30.360797882080078,31.15928840637207
2025-07-02 05:00:00+00:00,23,29,28.0,29.0,29.0,30.7,True,29.46578025817871,27.06873321533203,27.948333740234375,28.56112289428711,29.04695701599121,29.46578025817871,29.883012771606445,30.355937957763672,30.91144561767578,31.73223876953125
2025-07-02 06:00:00+00:00,24,30,30.0,29.0,29.0,31.0,True,29.859437942504883,27.336511611938477,28.249284744262695,28.895095825195312,29.410018920898438,29.859437942504883,30.311250686645508,30.80951499938965,31.40067481994629,32.26873779296875
2025-07-02 07:00:00+00:00,25,31,30.0,29.0,32.0,31.9,True,30.259445190429688,27.5347957611084,28.496286392211914,29.19023323059082,29.76305389404297,30.259445190429688,30.7607421875,31.308887481689453,31.954313278198242,32.91530990600586
2025-07-02 08:00:00+00:00,26,32,31.0,29.0,33.0,32.6,True,30.408239364624023,27.61692237854004,28.597217559814453,29.314361572265625,29.897809982299805,30.408239364624023,30.90447998046875,31.46337890625,32.1356086730957,33.14198303222656
2025-07-02 09:00:00+00:00,27,33,31.0,29.0,32.0,31.1,True,30.388227462768555,27.556631088256836,28.54438591003418,29.267459869384766,29.87269401550293,30.388227462768555,30.90129852294922,31.475685119628906,32.164207458496094,33.168357849121094
2025-07-02 10:00:00+00:00,28,34,31.0,29.0,30.0,28.9,True,30.162879943847656,27.471961975097656,28.420713424682617,29.117830276489258,29.680635452270508,30.162879943847656,30.64861488342285,31.19487190246582,31.859539031982422,32.84733200073242
2025-07-02 11:00:00+00:00,29,35,31.0,29.0,31.0,28.5,True,29.81342124938965,27.259950637817383,28.152902603149414,28.81033706665039,29.34636878967285,29.81342124938965,30.270957946777344,30.79153060913086,31.441757202148438,32.391178131103516
2025-07-02 12:00:00+00:00,30,36,31.0,29.0,30.0,28.4,True,29.253061294555664,27.119979858398438,27.895349502563477,28.453218460083008,28.887020111083984,29.253061294555664,29.63159942626953,30.065359115600586,30.627117156982422,31.455669403076172
2025-07-02 13:00:00+00:00,31,37,30.0,29.0,30.0,27.8,True,28.65652084350586,26.66107749938965,27.395822525024414,27.92322540283203,28.31725311279297,28.65652084350586,29.017471313476562,29.41651725769043,29.939781188964844,30.716766357421875
2025-07-02 14:00:00+00:00,32,38,29.0,29.0,29.0,27.6,True,28.35326385498047,26.484582901000977,27.18404769897461,27.675996780395508,28.037199020385742,28.35326385498047,28.685428619384766,29.04452133178711,29.52812385559082,30.255165100097656
2025-07-02 15:00:00+00:00,33,39,29.0,29.0,29.0,27.3,True,28.17466163635254,26.42679786682129,27.08502197265625,27.548364639282227,27.888957977294922,28.17466163635254,28.47404670715332,28.80908966064453,29.264707565307617,29.930994033813477
2025-07-02 16:00:00+00:00,34,40,29.0,29.0,29.0,26.9,True,28.043746948242188,26.39087677001953,27.022951126098633,27.455814361572266,27.77498435974121,28.043746948242188,28.32317352294922,28.621950149536133,29.033418655395508,29.65058708190918
2025-07-02 17:00:00+00:00,35,41,29.0,29.0,29.0,26.0,True,27.881649017333984,26.296056747436523,26.89849090576172,27.320415496826172,27.614049911499023,27.881649017333984,28.139183044433594,28.42690658569336,28.79716682434082,29.3716983795166
2025-07-02 18:00:00+00:00,36,42,28.0,29.0,28.0,26.2,True,27.59076499938965,25.99495506286621,26.60786247253418,27.030536651611328,27.32972526550293,27.59076499938965,27.866453170776367,28.150720596313477,28.50417709350586,29.06252098083496
2025-07-02 19:00:00+00:00,37,43,28.0,29.0,28.0,26.0,True,27.39818572998047,25.900087356567383,26.467357635498047,26.86993408203125,27.159576416015625,27.39818572998047,27.64566421508789,27.902175903320312,28.206457138061523,28.71920394897461
2025-07-02 20:00:00+00:00,38,44,28.0,29.0,28.0,25.9,True,27.280508041381836,25.768049240112305,26.36148452758789,26.76865005493164,27.047863006591797,27.280508041381836,27.52029037475586,27.76276206970215,28.055278778076172,28.553993225097656
2025-07-02 21:00:00+00:00,39,45,26.0,29.0,28.0,26.0,True,27.218843460083008,25.679399490356445,26.27161407470703,26.699525833129883,26.984691619873047,27.218843460083008,27.443782806396484,27.668500900268555,27.96980857849121,28.469255447387695
2025-07-02 22:00:00+00:00,40,46,26.0,29.0,28.0,25.9,True,27.080360412597656,25.44788932800293,26.090015411376953,26.536781311035156,26.83426856994629,27.080360412597656,27.30614471435547,27.54229736328125,27.839303970336914,28.349977493286133
2025-07-02 23:00:00+00:00,41,47,27.0,29.0,28.0,25.3,True,26.986106872558594,25.211803436279297,25.909244537353516,26.391036987304688,26.725526809692383,26.986106872558594,27.24075698852539,27.507482528686523,27.8690242767334,28.43653678894043
2025-07-03 00:00:00+00:00,42,48,27.0,29.0,28.0,25.7,True,27.107154846191406,25.357513427734375,26.059831619262695,26.523786544799805,26.8572998046875,27.107154846191406,27.363691329956055,27.650720596313477,28.00712776184082,28.59735870361328
2025-07-03 01:00:00+00:00,43,49,27.0,29.0,29.0,26.3,True,27.628868103027344,25.86530876159668,26.54654312133789,27.029924392700195,27.36064910888672,27.628868103027344,27.89723014831543,28.185073852539062,28.571836471557617,29.175800323486328
2025-07-03 02:00:00+00:00,44,50,28.0,29.0,29.0,27.0,True,28.272201538085938,26.433147430419922,27.13510513305664,27.631906509399414,27.980987548828125,28.272201538085938,28.57994842529297,28.91628646850586,29.337291717529297,30.000770568847656
2025-07-03 03:00:00+00:00,45,51,29.0,29.0,30.0,27.6,True,28.955795288085938,26.929811477661133,27.67229652404785,28.227853775024414,28.62777328491211,28.955795288085938,29.315832138061523,29.703760147094727,30.17074966430664,30.893104553222656
2025-07-03 04:00:00+00:00,46,52,30.0,29.0,28.0,28.0,True,29.715774536132812,27.524927139282227,28.309263229370117,28.899051666259766,29.327022552490234,29.715774536132812,30.094066619873047,30.519704818725586,31.022947311401367,31.7957706451416
2025-07-03 05:00:00+00:00,47,53,31.0,29.0,29.0,28.9,True,30.423091888427734,27.78802490234375,28.699989318847656,29.391157150268555,29.94880485534668,30.423091888427734,30.90775489807129,31.44057846069336,32.056663513183594,32.96654510498047
2025-07-03 06:00:00+00:00,48,54,31.0,29.0,29.0,30.2,True,31.03833770751953,28.21483612060547,29.17879867553711,29.914396286010742,30.515798568725586,31.03833770751953,31.54401206970215,32.09235763549805,32.74653625488281,33.704627990722656
