valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-04-18 14:00:00+00:00,30.1,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,38
2025-04-18 15:00:00+00:00,29.3,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,39
2025-04-18 16:00:00+00:00,27.6,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,40
2025-04-18 17:00:00+00:00,26.9,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,41
2025-04-18 18:00:00+00:00,27.3,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,42
2025-04-18 19:00:00+00:00,27.2,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,43
2025-04-18 20:00:00+00:00,26.1,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,44
2025-04-18 21:00:00+00:00,25.3,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,45
2025-04-18 22:00:00+00:00,24.8,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,46
2025-04-18 23:00:00+00:00,24.8,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,47
2025-04-19 00:00:00+00:00,25.1,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,48
2025-04-19 01:00:00+00:00,25.3,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,49
2025-04-19 02:00:00+00:00,27.1,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,50
2025-04-19 03:00:00+00:00,29.7,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,51
2025-04-19 04:00:00+00:00,31.5,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,52
2025-04-19 05:00:00+00:00,33.3,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,53
2025-04-19 06:00:00+00:00,34.9,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,54
2025-04-19 07:00:00+00:00,34.3,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,7
2025-04-19 08:00:00+00:00,35.1,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,8
2025-04-19 09:00:00+00:00,32.0,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,9
2025-04-19 10:00:00+00:00,32.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,10
2025-04-19 11:00:00+00:00,32.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,11
2025-04-19 12:00:00+00:00,32.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,12
2025-04-19 13:00:00+00:00,30.1,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,13
2025-04-19 14:00:00+00:00,28.8,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,14
2025-04-19 15:00:00+00:00,28.0,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,15
2025-04-19 16:00:00+00:00,27.5,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,16
2025-04-19 17:00:00+00:00,27.2,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,17
2025-04-19 18:00:00+00:00,26.8,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,18
2025-04-19 19:00:00+00:00,26.7,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,19
2025-04-19 20:00:00+00:00,26.6,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,20
2025-04-19 21:00:00+00:00,25.9,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,21
2025-04-19 22:00:00+00:00,26.0,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,22
2025-04-19 23:00:00+00:00,25.7,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,23
2025-04-20 00:00:00+00:00,25.2,2025-04-19 06:00:00+00:00,2025-04-19 00:00:00+00:00,24
