split,station,origin,run,origin_month,calendar_season,forecast_epoch,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
train,42410099999,2024-09-16 06:00:00+00:00,2024-09-16 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,45,0
train,43128599999,2024-09-16 06:00:00+00:00,2024-09-16 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,44,0
train,43279099999,2024-09-16 06:00:00+00:00,2024-09-16 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,48,0
train,42410099999,2024-09-24 06:00:00+00:00,2024-09-24 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,43,0
train,43128599999,2024-09-24 06:00:00+00:00,2024-09-24 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,44,0
train,43279099999,2024-09-24 06:00:00+00:00,2024-09-24 00:00:00+00:00,2024-09,SON,ifs_49r1_hindcast,eligible,,,1.0,47,0
train,42410099999,2024-10-02 06:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,12.0,46,0
train,43128599999,2024-10-02 06:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
train,43279099999,2024-10-02 06:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,4.0,48,0
train,42410099999,2024-10-10 06:00:00+00:00,2024-10-10 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,12.0,44,0
train,43128599999,2024-10-10 06:00:00+00:00,2024-10-10 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,13.0,47,0
train,43279099999,2024-10-10 06:00:00+00:00,2024-10-10 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,1.0,48,0
train,42410099999,2024-10-18 06:00:00+00:00,2024-10-18 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,14.0,45,0
train,43128599999,2024-10-18 06:00:00+00:00,2024-10-18 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,12.0,44,0
train,43279099999,2024-10-18 06:00:00+00:00,2024-10-18 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,2.0,48,0
train,42410099999,2024-10-26 06:00:00+00:00,2024-10-26 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,6.0,47,0
train,43128599999,2024-10-26 06:00:00+00:00,2024-10-26 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,8.0,43,0
train,43279099999,2024-10-26 06:00:00+00:00,2024-10-26 00:00:00+00:00,2024-10,SON,ifs_49r1_hindcast,eligible,,,0.0,47,0
train,42410099999,2024-11-03 06:00:00+00:00,2024-11-03 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,2.0,47,0
train,43128599999,2024-11-03 06:00:00+00:00,2024-11-03 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,15.0,42,0
train,43279099999,2024-11-03 06:00:00+00:00,2024-11-03 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,0.0,47,0
train,42410099999,2024-11-11 06:00:00+00:00,2024-11-11 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,2.0,48,0
train,43128599999,2024-11-11 06:00:00+00:00,2024-11-11 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,44,0
train,43279099999,2024-11-11 06:00:00+00:00,2024-11-11 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,1.0,48,0
train,42410099999,2024-11-19 06:00:00+00:00,2024-11-19 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,3.0,48,0
train,43128599999,2024-11-19 06:00:00+00:00,2024-11-19 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,41,0
train,43279099999,2024-11-19 06:00:00+00:00,2024-11-19 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,3.0,48,0
train,42410099999,2024-11-27 06:00:00+00:00,2024-11-27 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,4.0,47,0
train,43128599999,2024-11-27 06:00:00+00:00,2024-11-27 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,14.0,42,0
