origin,method,n,mae_c,rmse_c,bias_c
2025-06-01T06:00:00+00:00,persistence_c,47,1.9574468085106382,2.352002315818805,1.574468085106383
2025-06-01T06:00:00+00:00,yesterday_c,47,1.5957446808510638,1.9185544203461593,-1.0425531914893618
2025-06-01T06:00:00+00:00,ecmwf_ifs_c,47,1.719148936170213,1.9681506602078502,-0.35319148936170225
2025-06-01T06:00:00+00:00,timesfm_c,47,0.9230341809861203,1.1190332649978152,-0.08583263640708112
2025-06-21T06:00:00+00:00,persistence_c,46,2.0434782608695654,2.4047055320043187,1.173913043478261
2025-06-21T06:00:00+00:00,yesterday_c,46,1.1521739130434783,1.3909646324388165,-0.32608695652173914
2025-06-21T06:00:00+00:00,ecmwf_ifs_c,46,2.095652173913044,2.4361409254588806,-1.8043478260869565
2025-06-21T06:00:00+00:00,timesfm_c,46,1.1242420362389607,1.2987584642471517,-0.36265257130498474
2025-06-25T06:00:00+00:00,persistence_c,47,1.8085106382978724,2.0576789237370074,0.7446808510638298
2025-06-25T06:00:00+00:00,yesterday_c,47,1.6382978723404256,2.0053120943495752,-1.0425531914893618
2025-06-25T06:00:00+00:00,ecmwf_ifs_c,47,1.15531914893617,1.48517496641004,-0.31702127659574464
2025-06-25T06:00:00+00:00,timesfm_c,47,1.078265940889399,1.3410661794682688,-0.23407124458475315
